	{斜玉}
󰼽	{𣚪字边之二}
󰼾	{𣚯字旁}
󰼿	{𣚱字头字旁}
󰽀	{𣚱字头}
󰽁	{𣚹字边}
󰽂	{𣚺字边}
󰽄	{𣚻字边}
󰽅	{𣛇字边}
󰽆	{𣛈字边字底}
󰽇	{𣛈字边}
󰽉	{𣛉字边字底}
󰽊	{𣛉字边}
󰽌	{𣛉字边字底之一}
󰽍	{𣛉字边之一}
󰽎	{𣛊字头}
󰽏	{𣛐字中}
󰽐	{𣛒字边}
󰽑	{𣛫字边字头}
󰽒	{𣛫字边}
󰽓	{𣛫字边之一}
󰽔	{𣛽字边}
󰽕	{𣜀字边}
󰽖	{𣜁字边}
󰽗	{𣜄字底}
󰽘	{𣜄字底之一}
󰽙	{𣜄字底之二}
󰽚	{𣜈字腰}
󰽛	{𣜒字边字框}
󰽜	{𣜒字边}
󰽝	{𣜔字边}
󰽞	{𣜗字边}
󰽟	{𣜧字边}
󰽡	{𣜩字边}
󰽢	{𣜮字边}
󰽣	{𣝂字边}
󰽤	{𣝎字边}
󰽥	{𣝖字旁字头}
󰽧	{𣝖字旁}
󰽩	{𣝖字旁之一}
󰽪	{𣝘字边}
󰽫	{𣝙字边}
󰽬	{𣝢字边}
󰽭	{𣝣字底}
󰽮	{𣝤字边}
󰽯	{𣝥字底}
󰽰	{𣝱字边}
󰽱	{𣝱字边之一}
󰽳	{𣝼字边}
󰽵	{𣝿字边}
󰽶	{𣞆字底}
󰽸	{𣞈字腰}
󰽹	{𣞌字边}
󰽺	{𣞖字底}
󰽻	{𣞚字边字底}
󰽼	{𣞚字边}
󰽽	{𣞛字中}
󰽾	{𣞞字边字底}
󰽿	{𣞞字边}
󰾀	{𣞞字边字底之一}
󰾁	{𣞞字边之一}
󰾂	{𣞣字头}
󰾃	{𣞣字底}
󰾄	{𣞦字边}
󰾅	{𣞧字边}
󰾆	{𣞬字边}
󰾇	{𣞯字边}
󰾈	{𣞸字边}
󰾉	{𣞹字边}
󰾊	{𣞼字边字底}
󰾋	{𣞼字边}
󰾌	{𣞿字中}
󰾍	{𣟀字边}
󰾎	{𣟃字边字底}
󰾏	{𣟃字边}
󰾐	{𣟈字底}
󰾒	{𣟎字边}
󰾓	{𣟐字边}
󰾔	{𣟒字头}
󰾕	{𣟔字边}
󰾖	{𣟘字头}
󰾗	{𣟜字底字心}
󰾘	{𣟜字底}
󰾙	{𣟝字边}
󰾚	{𣟝字边之一}
󰾜	{𣟥字边}
󰾝	{𣟷字中字底}
󰾞	{𣟷字中}
󰾟	{𣟻字边}
󰾠	{𣠄字边}
󰾡	{𣠅字边字腰}
󰾢	{𣠅字边}
󰾣	{𣠉字边}
󰾤	{𣠊字边}
󰾥	{𣠋字头}
󰾦	{𣠋字头字心}
󰾧	{𣠋字头之一}
󰾨	{𣠌字边}
󰾩	{𣠌字边之一}
󰾪	{𣠍字边}
󰾫	{𣠘字边}
󰾬	{𣠜字边}
󰾭	{𣠣字边}
󰾮	{𣠧字边}
󰾯	{𣠨字边}
󰾰	{𣠪字边}
󰾱	{𣠫字底}
󰾲	{𣠫字底之一}
󰾳	{𣠬字旁字头}
󰾴	{𣠬字旁}
󰾵	{𣠯字边字心字心}
󰾶	{𣠯字边字心}
󰾷	{𣠯字边}
󰾸	{𣠴字边}
󰾹	{𣠿字头字边}
󰾺	{𣠿字头}
󰾻	{𣡀字边}
󰾼	{𣡀字边之一}
󰾽	{𣡅字边}
󰾾	{𣡅字边之一}
󰾿	{𣡋字边}
󰿀	{𣡏字腰字心字底}
󰿁	{𣡏字腰字心}
󰿂	{𣡏字腰}
󰿃	{𣡐字边}
󰿄	{𣡐字边之一}
󰿅	{𣡑字边}
󰿆	{𣡕字底}
󰿇	{𣡜字底}
󰿈	{𣡟字边字底}
󰿉	{𣡟字边}
󰿊	{𣡠字边}
󰿋	{𣡡字头}
󰿌	{𣡦字腰字心字底}
󰿍	{𣡦字腰字心}
󰿎	{𣡦字腰}
󰿏	{𣡨字头}
󰿑	{𣡪字腰字底字旁}
󰿒	{𣡪字腰字底}
󰿓	{𣡪字腰}
󰿔	{𣡫字底字旁}
󰿕	{𣡫字底}
󰿖	{𣡫字底之一}
󰿗	{𣡫字底字旁之一}
󰿘	{𣡫字底之二}
󰿙	{𣡬字边字心}
󰿚	{𣡬字边}
󰿛	{𣡱字底}
󰿜	{𣡳字边}
󰿝	{𣡴字边}
󰿞	{𣡺字旁}
󰿟	{𣡺字边}
󰿠	{𣡺字头}
󰿡	{𣢲字旁}
󰿢	{𣢳字旁}
󰿣	{𣢴字旁}
󰿤	{𣢻字旁}
󰿥	{𣢼字旁}
󰿦	{𣣂字旁}
󰿧	{𣣅字旁}
󰿨	{𣣇字旁}
󰿩	{𣣌字旁}
󰿪	{𣣔字旁}
󰿫	{𣣖字旁字框}
󰿬	{𣣖字旁}
󰿭	{𣣦字旁}
󰿮	{𣣯字旁}
󰿯	{𣣰字底}
󰿰	{𣣴字旁}
󰿱	{𣣵字旁}
󰿲	{𣣿字旁}
󰿳	{𣤀字旁}
󰿴	{𣤌字旁}
󰿵	{𣤎字框}
󰿶	{𣤏字旁}
󰿷	{𣤑字旁}
󰿸	{𣤒字旁}
󰿹	{𣤔字旁}
󰿺	{𣤔字旁之一}
󰿻	{𣤗字旁}
󰿼	{𣤜字旁}
󰿽	{𣤝字旁}
󰿾	{𣤞字旁}
󰿿	{𣤟字旁}
󱀀	{𣤦字旁}
󱀁	{𣤧字旁}
󱀂	{𣤧字旁之一}
󱀃	{𣤬字旁}
󱀄	{𣤬字旁之一}
󱀅	{𣤭字旁}
󱀆	{𣤮字旁}
󱀇	{𣤳字旁}
󱀈	{𣤷字旁字腰}
󱀉	{𣤷字旁}
󱀊	{𣤺字旁}
󱀋	{𣤻字旁}
󱀌	{𣤼字旁}
󱀍	{𣤽字旁字腰}
󱀎	{𣤽字旁}
󱀏	{𣤾字旁}
󱀐	{𣥋字头}
󱀑	{𣥑字底字心}
󱀒	{𣥑字底}
󱀔	{𣥑字底之一}
󱀕	{𣥒字头字心}
󱀖	{𣥒字头}
󱀗	{𣥒字头字心之一}
󱀘	{𣥒字头之一}
󱀙	{𣥓字底}
󱀚	{𣥪字底}
󱀛	{𣥬字旁}
󱀜	{𣥲字头}
󱀝	{𣥲字头之一}
󱀞	{𣥼字底}
󱀟	{𣥿字腰}
󱀠	{𣦏字心字心}
󱀡	{𣦏字心}
󱀢	{𣦕字旁}
󱀣	{𣦗字底}
󱀤	{𣦙字旁}
󱀥	{𣦚字旁}
󱀦	{𣦞字底}
󱀧	{𣦨字旁}
󱀨	{𣦬字框}
󱀩	{𣦯字心}
󱀪	{𣦲字边}
󱀫	{𣦳字旁}
󱀭	{𣦳字旁之一}
󱀯	{𣦴字底}
󱀰	{𣦶字底}
󱀱	{𣧇字边}
󱀲	{𣧢字边}
󱀴	{𣨃字边}
󱀵	{𣨨字边}
󱀶	{𣩌字边字头}
󱀷	{𣩌字边}
󱀸	{𣪃字旁}
󱀹	{𣪉字旁}
󱀺	{𣪊字旁}
󱀻	{𣪍字旁字心}
󱀼	{𣪍字旁}
󱀽	{𣪎字旁}
󱀾	{𣪒字旁}
󱀿	{𣪔字旁}
󱁀	{𣪔字旁之一}
󱁁	{𣪗字旁}
󱁂	{𣪛字旁}
󱁃	{𣪝字旁}
󱁄	{𣪧字旁}
󱁅	{𣪨字旁}
󱁆	{𣪩字旁}
󱁇	{𣪩字旁之一}
󱁈	{𣪪字旁}
󱁉	{𣪫字旁字心字头}
󱁊	{𣪫字旁字心}
󱁋	{𣪫字旁}
󱁌	{𣪬字旁}
󱁍	{𣪭字旁}
󱁎	{𣪳字旁}
󱁏	{𣪴字旁}
󱁐	{𣪷字旁}
󱁑	{𣪸字旁}
󱁒	{𣪹字旁}
󱁓	{𣪺字旁}
󱁔	{𣫀字旁}
󱁕	{𣫂字旁}
󱁖	{𣫃字旁}
󱁗	{𣫅字旁}
󱁘	{𣫇字旁}
󱁙	{𣫇字旁之一}
󱁚	{𣫈字旁}
󱁛	{𣫉字头字旁}
󱁜	{𣫉字头}
󱁝	{𣫌字旁}
󱁞	{𣫎字旁}
󱁟	{𣫏字旁}
󱁠	{𣫓字旁}
󱁡	{𣫔字旁}
󱁢	{𣫗字旁}
󱁣	{𣫚字旁}
󱁤	{𣫛字旁}
󱁥	{𣫞字旁}
󱁦	{𣫟字旁}
󱁧	{𣫠字旁}
󱁨	{𣫨字底}
󱁩	{𣫩字旁字头}
󱁪	{𣫩字旁}
󱁫	{𣫺字边}
󱁬	{𣫺字边之一}
󱁭	{𣫻字腰}
󱁮	{𣫽字头}
󱁯	{𣫿字头}
󱁳	{𣬌字头}
󱁴	{𣬖字头}
󱁵	{𣬖字旁}
󱁶	{𣬗字旁}
󱁷	{𣬗字旁字底}
󱁸	{𣬗字旁之一}
󱁹	{𣬘字旁}
󱁺	{𣬙字旁}
󱁻	{𣬛字框}
󱁼	{𣭌字心}
󱁽	{𣭢字旁}
󱁿	{𣭹字旁}
󱂀	{𣭺字旁}
󱂁	{𣭺字旁之一}
󱂂	{𣮖字头}
󱂄	{𣮲字心之一}
󱂅	{𣮽字心}
󱂆	{𣮾字旁}
󱂇	{𣯓字旁}
󱂈	{𣯕字头}
󱂊	{𣯰字旁}
󱂋	{𣯲字心}
󱂌	{𣯷字底}
󱂍	{𣰎字心}
󱂎	{𣰓字心字中}
󱂏	{𣰓字心}
󱂐	{𣰓字心字中之一}
󱂑	{𣰓字心之一}
󱂒	{𣰓字心字中之二}
󱂓	{𣰓字心之二}
󱂔	{𣰖字旁}
󱂕	{𣰘字头}
󱂖	{𣰘字头之一}
󱂗	{𣰝字旁}
󱂘	{𣰡字头}
󱂙	{𣰣字头}
󱂚	{𣰣字头之一}
󱂛	{𣰧字头}
󱂝	{𣰩字心}
󱂞	{𣰱字头}
󱂟	{𣰱字底}
󱂠	{𣰹字心}
󱂡	{𣱂字旁}
󱂢	{𣱍字旁}
󱂤	{𣱏字头}
󱂥	{𣱑字边}
󱂦	{𣱒字边}
󱂧	{𣲅字边}
󱂨	{𣲊字底}
󱂩	{𣲣字边}
󱂪	{𣲶字边}
󱂫	{𣳀字边}
󱂬	{𣳃字边}
󱂭	{𣳄字边}
󱂮	{𣳊字边}
󱂯	{𣳊字边之一}
󱂰	{𣳋字边字头}
󱂱	{𣳋字边}
󱂲	{𣳌字边字底}
󱂳	{𣳌字边}
󱂴	{𣳍字边}
󱂵	{𣳏字边}
󱂶	{𣳐字边}
󱂷	{𣳒字边}
󱂸	{𣳝字边}
󱂹	{𣳰字边}
󱂺	{𣴁字边字头}
󱂻	{𣴁字边}
󱂼	{𣴄字边}
󱂽	{𣴅字边}
󱂾	{𣴋字边}
󱂿	{𣴦字边}
󱃀	{𣴸字边}
󱃁	{𣴹字边}
󱃂	{𣴻字边}
󱃃	{𣴿字边}
󱃄	{𣵅字边}
󱃅	{𣵉字边字头}
󱃆	{𣵉字边}
󱃇	{𣵊字边字框}
󱃈	{𣵊字边}
󱃉	{𣵋字边}
󱃊	{𣵍字边}
󱃋	{𣵏字边}
󱃍	{𣵒字边}
󱃎	{𣵔字边}
󱃏	{𣵕字边}
󱃐	{𣵗字边}
󱃑	{𣵚字边}
󱃒	{𣵜字边}
󱃓	{𣵥字边}
󱃔	{𣵫字边}
󱃕	{𣵸字边}
󱃗	{𣶓字边}
󱃙	{𣶓字边字底}
󱃚	{𣶓字边之一}
󱃛	{𣶔字边字心}
󱃜	{𣶔字边}
󱃞	{𣶕字边}
󱃟	{𣶖字边}
󱃠	{𣶘字边}
󱃡	{𣶚字边}
󱃢	{𣶠字边}
󱃣	{𣶡字边}
󱃤	{𣶥字边}
󱃥	{𣶧字边}
󱃦	{𣶳字边}
󱃧	{𣶾字头}
󱃨	{𣷁字边}
󱃩	{𣷁字边之一}
󱃪	{𣷅字边}
󱃫	{𣷇字边}
󱃬	{𣷋字边}
󱃭	{𣷐字边}
󱃮	{𣷝字边}
󱃰	{𣷢字边之一}
󱃱	{𣷤字边字头}
󱃲	{𣷤字边}
󱃳	{𣷦字边}
󱃴	{𣷨字中}
󱃵	{𣷬字中字底}
󱃶	{𣷬字中}
󱃷	{𣷵字边}
󱃸	{𣷶字边字底}
󱃹	{𣷶字边}
󱃺	{𣷹字边}
󱃼	{𣷺字边}
󱃽	{𣷻字边字腰字头字心}
󱃾	{𣷻字边字腰字头}
󱃿	{𣷻字边字腰}
󱄀	{𣷻字边}
󱄁	{𣷻字边之一}
󱄂	{𣷻字边字腰之一}
󱄃	{𣷻字边之二}
󱄄	{𣸃字边}
󱄅	{𣸃字边之一}
󱄆	{𣸌字边}
󱄇	{𣸑字边}
󱄈	{𣸓字边}
󱄉	{𣸔字边}
󱄊	{𣸔字边之一}
󱄌	{𣸧字边}
󱄍	{𣸮字边}
󱄎	{𣸷字边}
󱄐	{𣸼字边字心}
󱄑	{𣸼字边}
󱄒	{𣸽字边}
󱄓	{𣹀字边字底}
󱄔	{𣹀字边}
󱄕	{𣹀字边字底之一}
󱄖	{𣹀字边之一}
󱄗	{𣹃字边}
󱄘	{𣹄字边}
󱄙	{𣹄字边之一}
󱄚	{𣹈字边}
󱄛	{𣹒字边}
󱄜	{𣹚字边}
󱄝	{𣹣字边}
󱄞	{𣹨字中}
󱄟	{𣹨字中之一}
󱄠	{𣹬字旁}
󱄢	{𣹳字中}
󱄣	{𣹷字边}
󱄤	{𣹺字边}
󱄥	{𣹽字边}
󱄦	{𣹽字边之一}
󱄧	{𣹿字边字底}
󱄨	{𣹿字边}
󱄩	{𣺀字边}
󱄪	{𣺁字边字心}
󱄫	{𣺁字边}
󱄬	{𣺁字边字心之一}
󱄭	{𣺁字边之一}
󱄮	{𣺃字边}
󱄯	{𣺅字边}
󱄰	{𣺆字边}
󱄱	{𣺇字边}
󱄲	{𣺏字边字底字心}
󱄳	{𣺏字边字底}
󱄴	{𣺏字边}
󱄵	{𣺑字边}
󱄶	{𣺒字边}
󱄷	{𣺓字边}
󱄸	{𣺘字边}
󱄹	{𣺙字边}
󱄺	{𣺚字边}
󱄻	{𣺝字边}
󱄼	{𣺟字边}
󱄽	{𣺣字边}
󱄾	{𣺧字边}
󱅀	{𣺨字边}
󱅂	{𣺨字边之一}
󱅃	{𣺭字边}
󱅄	{𣺳字中}
󱅅	{𣻋字中}
󱅆	{𣻌字边}
󱅇	{𣻍字边}
󱅉	{𣻨字边}
󱅊	{𣻭字边}
󱅋	{𣻲字边}
󱅌	{𣻶字边}
󱅍	{𣼀字边字心字底}
󱅎	{𣼀字边字心}
󱅏	{𣼀字边}
󱅑	{𣼀字边字心之一}
󱅒	{𣼀字边之一}
󱅓	{𣼂字边}
󱅔	{𣼃字边}
󱅕	{𣼃字边之一}
󱅖	{𣼄字边}
󱅗	{𣼅字边字腰}
󱅘	{𣼅字边}
󱅙	{𣼆字边}
󱅚	{𣼇字边}
󱅜	{𣼇字边之一}
󱅝	{𣼌字边}
󱅞	{𣼌字边之一}
󱅟	{𣼏字边字底}
󱅠	{𣼏字边}
󱅡	{𣼑字边}
󱅢	{𣼒字边}
󱅣	{𣼕字边}
󱅤	{𣼗字边}
󱅥	{𣼘字头}
󱅦	{𣼙字头}
󱅧	{𣼛字边}
󱅨	{𣼛字边之一}
󱅩	{𣼛字边字底}
󱅪	{𣼛字边之二}
󱅫	{𣼝字中}
󱅬	{𣼝字边}
󱅭	{𣼟字边}
󱅮	{𣼠字边字头}
󱅯	{𣼠字边}
󱅰	{𣼣字边}
󱅱	{𣼦字边}
󱅲	{𣼨字边}
󱅳	{𣼿字旁}
󱅴	{𣼿字旁之一}
󱅵	{𣽀字边}
󱅶	{𣽃字边字底字心}
󱅷	{𣽃字边字底}
󱅸	{𣽃字边}
󱅹	{𣽃字边字底字心之一}
󱅺	{𣽃字边字底之一}
󱅻	{𣽃字边之一}
󱅼	{𣽍字边}
󱅽	{𣽐字边}
󱅾	{𣽙字边}
󱅿	{𣽪字边}
󱆀	{𣽱字边}
󱆁	{𣽵字边}
󱆂	{𣽶字边}
󱆅	{𣽾字边}
󱆆	{𣾊字边}
󱆇	{𣾊字边之一}
󱆈	{𣾌字边字底}
󱆉	{𣾌字边}
󱆊	{𣾑字边字底}
󱆋	{𣾑字边}
󱆌	{𣾒字边}
󱆍	{𣾕字边}
󱆎	{𣾖字边}
󱆏	{𣾖字边之一}
󱆐	{𣾝字边}
󱆑	{𣾡字边}
󱆒	{𣾡字边之一}
󱆓	{𣾣字边}
󱆔	{𣾤字边}
󱆕	{𣾤字边之一}
󱆗	{𣾩字边}
󱆘	{𣾱字边}
󱆙	{𣾲字边}
󱆚	{𣾳字边}
󱆛	{𣿟字边字底}
󱆜	{𣿟字边}
󱆝	{𣿠字边}
󱆞	{𣿡字边}
󱆟	{𣿣字边}
󱆠	{𣿤字边字头}
󱆡	{𣿤字边}
󱆢	{𣿯字边字头}
󱆣	{𣿯字边}
󱆦	{𣿱字边}
󱆧	{𣿵字边}
󱆨	{𣿵字边之一}
󱆩	{𣿶字边}
󱆪	{𣿷字边}
󱆫	{𣿻字边}
󱆬	{𣿼字边字心}
󱆭	{𣿼字边}
󱆮	{𤀃字边}
󱆯	{𤀅字边字头}
󱆰	{𤀅字边}
󱆱	{𤀅字边之一}
󱆲	{𤀅字边之二}
󱆳	{𤀆字边}
󱆴	{𤀈字边字头}
󱆵	{𤀈字边}
󱆶	{𤀉字边}
󱆷	{𤀍字边}
󱆸	{𤀚字边字底}
󱆹	{𤀚字边}
󱆺	{𤀟字边}
󱆻	{𤀦字边}
󱆼	{𤀬字边}
󱆽	{𤀭字边}
󱆾	{𤀮字边}
󱆿	{𤀯字边}
󱇀	{𤀱字边}
󱇁	{𤀴字边}
󱇂	{𤀸字边}
󱇃	{𤀻字边}
󱇄	{𤀾字边}
󱇅	{𤀾字边之一}
󱇆	{𤀿字边}
󱇇	{𤁁字边字头字旁}
󱇈	{𤁁字边字头字边}
󱇉	{𤁁字边字头}
󱇊	{𤁁字边}
󱇋	{𤁆字边}
󱇌	{𤁊字边}
󱇍	{𤁊字边之一}
󱇏	{𤁌字边}
󱇐	{𤁌字边之一}
󱇑	{𤁎字边}
󱇒	{𤁑字边}
󱇓	{𤁚字边}
󱇔	{𤁜字边}
󱇕	{𤁟字边}
󱇖	{𤁿字边}
󱇙	{𤂃字底字心}
󱇚	{𤂃字底}
󱇜	{𤂃字底之一}
󱇝	{𤂇字边}
󱇞	{𤂇字边之一}
󱇟	{𤂎字边字心}
󱇠	{𤂎字边}
󱇡	{𤂎字边字心之一}
󱇢	{𤂎字边之一}
󱇣	{𤂏字边字心}
󱇤	{𤂏字边}
󱇥	{𤂒字底}
󱇦	{𤂓字边字心}
󱇧	{𤂓字边}
󱇨	{𤂕字边}
󱇩	{𤂙字边}
󱇪	{𤂝字头字边}
󱇫	{𤂝字头}
󱇬	{𤂞字头}
󱇭	{𤂟字头字边}
󱇮	{𤂟字头}
󱇯	{𤂟字头字边之一}
󱇰	{𤂟字头之一}
󱇱	{𤂡字边字腰}
󱇲	{𤂡字边字底}
󱇳	{𤂡字边}
󱇴	{𤂤字边}
󱇵	{𤂤字边之一}
󱇶	{𤂦字边}
󱇷	{𤂯字边}
󱇸	{𤂯字边之一}
󱇹	{𤂼字头}
󱇻	{𤂽字边}
󱇼	{𤃁字边}
󱇽	{𤃁字边之一}
󱇿	{𤃄字头字旁}
󱈀	{𤃄字头}
󱈁	{𤃄字头字旁之一}
󱈂	{𤃄字头之一}
󱈃	{𤃈字边}
󱈄	{𤃊字边字底}
󱈅	{𤃊字边}
󱈆	{𤃋字边}
󱈇	{𤃏字边}
󱈈	{𤃐字边}
󱈉	{𤃒字边字心}
󱈊	{𤃒字边}
󱈋	{𤃔字边}
󱈌	{𤃕字边}
󱈍	{𤃖字边}
󱈎	{𤃙字边字底}
󱈏	{𤃙字边}
󱈐	{𤃚字边}
󱈑	{𤃬字边}
󱈒	{𤃭字边}
󱈓	{𤃳字边字边}
󱈔	{𤃳字边}
󱈕	{𤃺字边}
󱈖	{𤃼字边}
󱈗	{𤄂字边}
󱈘	{𤄇字边}
󱈙	{𤄑字中}
󱈚	{𤄘字边}
󱈛	{𤄘字边之一}
󱈜	{𤄞字边字底}
󱈝	{𤄞字边}
󱈞	{𤄡字边字心}
󱈟	{𤄡字边}
󱈠	{𤄢字边}
󱈡	{𤄦字边字心}
󱈢	{𤄦字边}
󱈣	{𤄩字边字头}
󱈤	{𤄩字边}
󱈥	{𤄩字边之一}
󱈦	{𤄪字边字底字框}
󱈧	{𤄪字边字底}
󱈨	{𤄪字边}
󱈩	{𤄴字边}
󱈪	{𤄸字边}
󱈫	{𤄼字边字头}
󱈬	{𤄼字边}
󱈭	{𤅁字边}
󱈮	{𤅃字边}
󱈯	{𤅆字中}
󱈰	{𤅌字边字底字心字框}
󱈱	{𤅌字边字底字心}
󱈲	{𤅌字边字底}
󱈳	{𤅌字边}
󱈴	{𤅌字边字底字心之一}
󱈵	{𤅌字边字底之一}
󱈶	{𤅌字边之一}
󱈷	{𤅏字边}
󱈸	{𤅒字边}
󱈺	{𤅗字边字底}
󱈻	{𤅗字边}
󱈼	{𤅗字边字底之一}
󱈽	{𤅗字边之一}
󱈾	{𤅗字边字底之二}
󱈿	{𤅗字边之二}
󱉀	{𤅘字边字底}
󱉁	{𤅘字边}
󱉂	{𤅚字边}
󱉄	{𤅡字中}
󱉅	{𤅡字中字底}
󱉆	{𤅡字中之一}
󱉇	{𤅣字边}
󱉈	{𤅨字边字底字框}
󱉉	{𤅨字边字底}
󱉊	{𤅨字边}
󱉋	{𤅨字边字底之一}
󱉌	{𤅨字边之一}
󱉎	{𤅪字边}
󱉏	{𤅪字边字底之一}
󱉐	{𤅪字边之一}
󱉑	{𤅯字边字底字心字旁}
󱉒	{𤅯字边字底字心}
󱉓	{𤅯字边字底}
󱉔	{𤅯字边}
󱉕	{𤅲字边}
󱉖	{𤅽字中}
󱉗	{𤅾字边字心}
󱉘	{𤅾字边}
󱉙	{𤆁字头}
󱉚	{𤆙字底}
󱉛	{𤆛字底}
󱉜	{𤆨字头}
󱉝	{𤇎字边}
󱉞	{𤇎字边之一}
󱉟	{𤇐字头}
󱉠	{𤇔字边}
󱉡	{𤇖字边}
󱉢	{𤇟字框字心}
󱉣	{𤇟字框}
󱉤	{𤈀字头}
󱉥	{𤈂字头}
󱉦	{𤈂字头之一}
󱉧	{𤈃字边}
󱉨	{𤈆字边}
󱉩	{𤈋字边}
󱉪	{𤈓字边}
󱉫	{𤈩字框}
󱉬	{𤈫字旁字心}
󱉭	{𤈫字旁}
󱉮	{𤈲字心}
󱉯	{𤉏字头}
󱉰	{𤉝字边字头}
󱉱	{𤉝字边}
󱉲	{𤉟字头}
󱉳	{𤉧字旁}
󱉴	{𤉨字心}
󱉵	{𤉫字边}
󱉶	{𤉴字头}
󱉷	{𤉷字头}
󱉸	{𤉺字旁}
󱉹	{𤉻字边}
󱉺	{𤉻字边之一}
󱉻	{𤊌字头}
󱉼	{𤊚字边字底}
󱉽	{𤊚字边}
󱉿	{𤊝字头字心字头}
󱊀	{𤊝字头字心}
󱊁	{𤊝字头}
󱊃	{𤊭字边}
󱊄	{𤊮字旁}
󱊅	{𤋅字头}
󱊆	{𤋈字头}
󱊇	{𤋋字边}
󱊈	{𤋒字头}
󱊉	{𤋓字边}
󱊊	{𤋝字头}
󱊋	{𤋠字边}
󱊌	{𤋡字边}
󱊍	{𤋣字头字旁}
󱊎	{𤋣字头}
󱊏	{𤋣字头之一}
󱊐	{𤋧字头}
󱊑	{𤋨字边}
󱊒	{𤋩字边}
󱊓	{𤋮字头}
󱊔	{𤋰字头}
󱊕	{𤋴字头}
󱊖	{𤌂字边}
󱊗	{𤌑字头}
󱊘	{𤌓字边}
󱊙	{𤌔字头}
󱊚	{𤌕字边}
󱊛	{𤌖字边}
󱊜	{𤌛字边}
󱊝	{𤌝字头}
󱊞	{𤌨字头}
󱊟	{𤌮字头}
󱊠	{𤌰字边字底}
󱊡	{𤌰字边}
󱊢	{𤌱字边}
󱊣	{𤌵字边字底}
󱊤	{𤌵字边}
󱊥	{𤍛字头}
󱊦	{𤍞字边字底}
󱊧	{𤍞字边}
󱊨	{𤍡字边字底}
󱊩	{𤍡字边}
󱊪	{𤍥字头}
󱊫	{𤍦字边}
󱊬	{𤍦字边之一}
󱊭	{𤍬字边}
󱊮	{𤍭字边}
󱊯	{𤍰字头}
󱊰	{𤍹字头}
󱊱	{𤍹字头之一}
󱊲	{𤍺字边}
󱊳	{𤍻字头字边}
󱊴	{𤍻字头}
󱊵	{𤎁字头字旁}
󱊶	{𤎁字头}
󱊷	{𤎆字边}
󱊸	{𤎆字边之一}
󱊹	{𤎇字头}
󱊺	{𤎈字边}
󱊻	{𤎉字心字头}
󱊼	{𤎉字心}
󱊽	{𤎉字心之一}
󱊾	{𤎋字边}
󱊿	{𤎏字边}
󱋀	{𤎗字底}
󱋂	{𤎟字底}
󱋃	{𤎬字头}
󱋄	{𤎷字心}
󱋅	{𤎸字旁字头}
󱋆	{𤎸字旁}
󱋇	{𤎸字头}
󱋈	{𤎹字头}
󱋉	{𤎺字边}
󱋊	{𤎾字头}
󱋋	{𤏁字头}
󱋌	{𤏁字头之一}
󱋎	{𤏆字边字头}
󱋏	{𤏆字边}
󱋐	{𤏉字边}
󱋑	{𤏊字头}
󱋒	{𤏊字头之一}
󱋓	{𤏑字边字底字心}
󱋔	{𤏑字边字底}
󱋕	{𤏑字边}
󱋘	{𤏕字旁}
󱋚	{𤏯字边之一}
󱋛	{𤏻字头}
󱋜	{𤏽字边}
󱋝	{𤏾字边}
󱋞	{𤐅字框}
󱋟	{𤐇字边}
󱋠	{𤐈字头字边}
󱋡	{𤐈字头}
󱋢	{𤐋字边}
󱋣	{𤐎字边}
󱋤	{𤐏字头}
󱋥	{𤐟字边}
󱋦	{𤐦字头}
󱋧	{𤐦字头之一}
󱋨	{𤐫字头}
󱋩	{𤐲字边}
󱋪	{𤐳字头字旁}
󱋫	{𤐳字头}
󱋬	{𤐳字头字旁之一}
󱋭	{𤐳字头之一}
󱋮	{𤐹字边}
󱋯	{𤐻字底}
󱋰	{𤑀字旁}
󱋱	{𤑁字头字边}
󱋲	{𤑁字头}
󱋳	{𤑂字边}
󱋴	{𤑊字头}
󱋵	{𤑋字底}
󱋶	{𤑕字边字头字旁字框}
󱋷	{𤑕字边字头字旁}
󱋸	{𤑕字边字头}
󱋹	{𤑕字边}
󱋺	{𤑜字头}
󱋻	{𤑜字头之一}
󱋼	{𤑠字旁}
󱋽	{𤑣字边}
󱋾	{𤑥字边}
󱋿	{𤑩字头}
󱌀	{𤑰字头}
󱌁	{𤑻字边字头}
󱌂	{𤑻字边}
󱌃	{𤑼字边}
󱌄	{𤑽字腰}
󱌅	{𤑽字旁}
󱌆	{𤒆字旁字底}
󱌇	{𤒆字旁}
󱌉	{𤒋字边字头}
󱌊	{𤒋字边}
󱌋	{𤒍字旁}
󱌌	{𤒍字头}
󱌍	{𤒐字头}
󱌎	{𤒒字旁}
󱌏	{𤒭字头字边}
󱌐	{𤒭字头}
󱌑	{𤒱字边字底}
󱌒	{𤒱字边}
󱌓	{𤒲字边字心}
󱌔	{𤒲字边}
󱌕	{𤒳字边}
󱌖	{𤒸字头}
󱌗	{𤒹字边}
󱌘	{𤒿字头}
󱌙	{𤒿字头之一}
󱌚	{𤓀字边}
󱌛	{𤓄字边}
󱌜	{𤓄字边之一}
󱌝	{𤓏字边}
󱌞	{𤓑字头字旁}
󱌟	{𤓑字头}
󱌠	{𤓔字边}
󱌡	{𤓚字边}
󱌣	{𤓚字边之一}
󱌤	{𤓣字边}
󱌥	{𤓤字头}
󱌦	{𤓥字底}
